Time	Flux	Uncertainty	Orientation
112.742	1.009	0.002	3.000
112.867	1.009	0.002	3.000
113.018	1.009	0.002	3.000
113.234	1.009	0.002	3.000
113.338	1.009	0.002	3.000
113.550	1.009	0.002	3.000
113.733	1.009	0.002	3.000
114.166	1.009	0.002	3.000
229.825	1.011	0.003	0.000
258.006	1.010	0.003	0.000
290.086	1.006	0.002	1.000
320.980	1.009	0.002	1.000
349.037	1.009	0.002	1.000
382.955	1.009	0.005	2.000
383.035	1.009	0.005	2.000
412.766	1.006	0.005	2.000
441.740	1.000	0.005	2.000
474.535	1.005	0.002	3.000
503.428	1.004	0.002	3.000
537.695	1.006	0.002	3.000
566.057	1.001	0.003	0.000
597.811	1.005	0.002	0.000
628.829	1.005	0.003	0.000
659.806	1.002	0.002	1.000
689.762	1.004	0.002	1.000
719.084	1.003	0.002	1.000
752.576	1.005	0.005	2.000
781.739	1.000	0.005	2.000
844.444	1.002	0.002	3.000
873.644	1.002	0.002	3.000
905.459	1.002	0.002	3.000
936.477	0.994	0.002	0.000
968.762	0.999	0.002	0.000
999.801	1.004	0.002	0.000
1031.800	1.000	0.002	1.000
1062.757	1.001	0.002	1.000
1097.862	1.002	0.002	1.000
1125.427	1.002	0.005	2.000
1153.523	0.996	0.005	2.000
1181.558	0.988	0.005	2.000
1214.517	0.987	0.002	3.000
1244.453	0.981	0.002	3.000
1272.590	0.983	0.002	3.000
1304.527	0.977	0.003	0.000
1335.832	0.980	0.002	0.000
1370.855	0.978	0.003	0.000
1403.835	0.975	0.002	1.000
1434.914	0.978	0.002	1.000
1470.673	0.978	0.002	1.000
1497.564	0.980	0.005	2.000
1524.495	0.974	0.005	2.000
1557.495	0.978	0.005	2.000
